Ref,Val,Package,PosX,PosY,Rot,Side
"B1-C1","100nF 6.3V","C_0402_1005Metric",-51.600396,-35.699950,45.000000,bottom
"B1-C2","10uF 6.3V","C_0402_1005Metric",-53.150396,-40.929950,135.000000,bottom
"B1-U1","AEAT_8800_Q24","QFN-24-1EP_5x5mm_P0.65mm_EP3.2x3.2mm",-55.000396,-37.499950,225.000000,bottom
"B2-U1","A1333","TSSOP-14_4.4x5mm_P0.65mm",-71.503039,-39.499999,270.000000,bottom
"B3-U1","TLE5012B","Infineon_PG-DSO-8",-91.503051,-39.499999,270.000000,bottom
"B4-C2","1uF 6.3V","C_0402_1005Metric",-106.763450,-36.839950,0.000000,bottom
"B4-U1","MA730","QFN-16-1EP_3x3mm_P0.5mm_EP1.75x1.75mm",-108.003450,-39.499950,180.000000,bottom
"REF**","Fiducial","Fiducial",-59.999000,-19.498950,0.000000,bottom
"REF**","Fiducial","Fiducial",-103.007084,-19.498950,0.000000,bottom
"REF**","Fiducial","Fiducial",-59.999000,-55.501000,0.000000,bottom
"B1-D1","green","LED_0402_1005Metric",52.100396,-38.684950,270.000000,top
"B1-J1","Conn_01x06_MountingPin","JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal",57.010396,-37.489950,90.000000,top
"B1-R1","1k","R_0402_1005Metric",52.120396,-36.309950,90.000000,top
"B2-C1","100nF 6.3V","C_0402_1005Metric",69.363039,-36.529999,90.000000,top
"B2-C2","100nF 6.3V","C_0402_1005Metric",70.393039,-36.519999,270.000000,top
"B2-D1","green","LED_0402_1005Metric",68.798039,-34.009999,0.000000,top
"B2-J1","Conn_01x06_MountingPin","JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal",75.773039,-39.499999,90.000000,top
"B2-R1","1k","R_0402_1005Metric",68.333039,-35.509999,270.000000,top
"B3-C2","100nF 6.3V","C_0402_1005Metric",91.503051,-42.799999,0.000000,top
"B3-D1","green","LED_0402_1005Metric",89.503051,-42.799999,0.000000,top
"B3-J1","Conn_01x06_MountingPin","JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal",95.773051,-39.499999,90.000000,top
"B3-R1","1k","R_0402_1005Metric",89.503051,-43.899999,0.000000,top
"B4-D1","green","LED_0402_1005Metric",106.173450,-41.864950,270.000000,top
"B4-J1","Conn_01x06_MountingPin","JST_SH_SM08B-SRSS-TB_1x08-1MP_P1.00mm_Horizontal",110.003450,-39.499950,90.000000,top
"B4-R1","1k","R_0402_1005Metric",106.173450,-39.629950,90.000000,top
"REF**","Fiducial","Fiducial",103.007084,-19.498950,0.000000,top
"REF**","Fiducial","Fiducial",59.999000,-55.501000,0.000000,top
"REF**","Fiducial","Fiducial",59.999000,-19.498950,0.000000,top
